character typed,2019-06-05T06:42:03,ü,0,N,1
character typed,2019-06-05T06:42:03,h,0,N,1
character typed,2019-06-05T06:42:03,l,0,N,1
character typed,2019-06-05T06:42:04,t,0,N,1
character typed,2019-06-05T06:42:04,e,0,N,1
character typed,2019-06-05T06:42:04,n,0,N,1
word typed,2019-06-05T06:42:04,ieeisgekühlten,2787,N,1
character typed,2019-06-05T06:42:04,B,0,N,1
character typed,2019-06-05T06:42:04,o,0,N,1
character typed,2019-06-05T06:42:05,m,0,N,1
character typed,2019-06-05T06:42:05,m,0,N,1
character typed,2019-06-05T06:42:05,e,0,N,1
character typed,2019-06-05T06:42:05,r,0,N,1
character typed,2019-06-05T06:42:05,l,0,N,1
character typed,2019-06-05T06:42:05,u,0,N,1
character typed,2019-06-05T06:42:05,n,0,N,1
character typed,2019-06-05T06:42:05,d,0,N,1
character typed,2019-06-05T06:42:05,e,0,N,1
character typed,2019-06-05T06:42:06,r,0,N,1
word typed,2019-06-05T06:42:06,Bommerlunder,1481,N,1
sentence typed,2019-06-05T06:42:06, Viele Menschen mögen ieeisgekühlten Bommerlunder,8008,N,1
character typed,2019-06-05T06:42:06,M,0,N,1
character typed,2019-06-05T06:42:06,i,0,N,1
character typed,2019-06-05T06:42:06,t,0,N,1
word typed,2019-06-05T06:42:07,Mit,315,N,1
character typed,2019-06-05T06:42:07,d,0,N,1
character typed,2019-06-05T06:42:07,e,0,N,1
character typed,2019-06-05T06:42:07,m,0,N,1
word typed,2019-06-05T06:42:07,dem,304,N,1
character typed,2019-06-05T06:42:07,D,0,N,1
character typed,2019-06-05T06:42:08,i,0,N,1
character typed,2019-06-05T06:42:08,e,0,N,1
character typed,2019-06-05T06:42:08,t,0,N,1
character typed,2019-06-05T06:42:08,r,0,N,1
character typed,2019-06-05T06:42:08,i,0,N,1
character typed,2019-06-05T06:42:08,c,0,N,1
character typed,2019-06-05T06:42:08,h,0,N,1
word typed,2019-06-05T06:42:09,Dietrich,1084,N,1
character typed,2019-06-05T06:42:09,k,0,N,1
character typed,2019-06-05T06:42:09,n,0,N,1
character typed,2019-06-05T06:42:09,a,0,N,1
character typed,2019-06-05T06:42:09,c,0,N,1
character typed,2019-06-05T06:42:09,k,0,N,1
character typed,2019-06-05T06:42:09,t,0,N,1
character typed,2019-06-05T06:42:10,e,0,N,1
word typed,2019-06-05T06:42:10,knackte,1106,N,1
character typed,2019-06-05T06:42:10,d,0,N,1
character typed,2019-06-05T06:42:10,e,0,N,1
character typed,2019-06-05T06:42:10,r,0,N,1
word typed,2019-06-05T06:42:10,der,278,N,1
character typed,2019-06-05T06:42:11,D,0,N,1
character typed,2019-06-05T06:42:11,i,0,N,1
character typed,2019-06-05T06:42:11,e,0,N,1
character typed,2019-06-05T06:42:11,b,0,N,1
word typed,2019-06-05T06:42:11,Dieb,589,N,1
character typed,2019-06-05T06:42:11,d,0,N,1
character typed,2019-06-05T06:42:11,a,0,N,1
character typed,2019-06-05T06:42:12,s,0,N,1
word typed,2019-06-05T06:42:12,das,330,N,1
character typed,2019-06-05T06:42:12,s,0,N,1
character typed,2019-06-05T06:42:13,c,0,N,1
character typed,2019-06-05T06:42:13,h,0,N,1
character typed,2019-06-05T06:42:13,l,0,N,1
character typed,2019-06-05T06:42:13,o,0,N,1
character typed,2019-06-05T06:42:13,s,0,N,1
character typed,2019-06-05T06:42:13,s,0,N,1
word typed,2019-06-05T06:42:14,schloss,1172,N,1
sentence typed,2019-06-05T06:42:14,Mit dem Dietrich knackte der Dieb das schloss,7272,N,1
character typed,2019-06-05T06:42:14,E,0,N,1
character typed,2019-06-05T06:42:14,i,0,N,1
character typed,2019-06-05T06:42:15,n,0,N,1
character typed,2019-06-05T06:42:15,e,0,N,1
word typed,2019-06-05T06:42:15,Eine,493,N,1
character typed,2019-06-05T06:42:15,F,0,N,1
character typed,2019-06-05T06:42:15,s,0,N,1
character typed,2019-06-05T06:42:16,a,0,N,1
character typed,2019-06-05T06:42:16,c,0,N,1
character typed,2019-06-05T06:42:16,h,0,N,1
character typed,2019-06-05T06:42:16,a,0,N,1
character typed,2019-06-05T06:42:17,s,0,N,1
character typed,2019-06-05T06:42:17,s,0,N,1
character typed,2019-06-05T06:42:17,i,0,N,1
character typed,2019-06-05T06:42:17,s,0,N,1
character typed,2019-06-05T06:42:17,t,0,N,1
character typed,2019-06-05T06:42:17,e,0,N,1
character typed,2019-06-05T06:42:17,n,0,N,1
character typed,2019-06-05T06:42:17,t,0,N,1
character typed,2019-06-05T06:42:18,i,0,N,1
character typed,2019-06-05T06:42:18,n,0,N,1
word typed,2019-06-05T06:42:18,Fsachassistentin,2730,N,1
character typed,2019-06-05T06:42:18,l,0,N,1
character typed,2019-06-05T06:42:18,i,0,N,1
character typed,2019-06-05T06:42:18,e,0,N,1
character typed,2019-06-05T06:42:18,b,0,N,1
character typed,2019-06-05T06:42:19,t,0,N,1
word typed,2019-06-05T06:42:19,liebt,772,N,1
character typed,2019-06-05T06:42:19,J,0,N,1
character typed,2019-06-05T06:42:19,u,0,N,1
character typed,2019-06-05T06:42:19,l,0,N,1
character typed,2019-06-05T06:42:19,i,0,N,1
character typed,2019-06-05T06:42:20,a,0,N,1
character typed,2019-06-05T06:42:20,n,0,N,1
character typed,2019-06-05T06:42:20,a,0,N,1
word typed,2019-06-05T06:42:20,Juliana,939,N,1
character typed,2019-06-05T06:42:20,a,0,N,1
character typed,2019-06-05T06:42:20,u,0,N,1
character typed,2019-06-05T06:42:20,f,0,N,1
word typed,2019-06-05T06:42:20,auf,222,N,1
character typed,2019-06-05T06:42:21,e,0,N,1
character typed,2019-06-05T06:42:21,i,0,N,1
character typed,2019-06-05T06:42:21,n,0,N,1
character typed,2019-06-05T06:42:21,e,0,N,1
character typed,2019-06-05T06:42:21,r,0,N,1
word typed,2019-06-05T06:42:21,einer,256,N,1
character typed,2019-06-05T06:42:21,I,0,N,1
character typed,2019-06-05T06:42:21,n,0,N,1
character typed,2019-06-05T06:42:21,s,0,N,1
character typed,2019-06-05T06:42:22,e,0,N,1
character typed,2019-06-05T06:42:22,l,0,N,1
word typed,2019-06-05T06:42:22,Insel,697,N,1
sentence typed,2019-06-05T06:42:22,Eine Fsachassistentin liebt Juliana auf einer Insel,7649,N,1
character typed,2019-06-05T06:42:23,V,0,N,1
character typed,2019-06-05T06:42:23,i,0,N,1
character typed,2019-06-05T06:42:23,e,0,N,1
character typed,2019-06-05T06:42:24,o,0,N,1
character typed,2019-06-05T06:42:24,l,0,N,1
character typed,2019-06-05T06:42:24,e,0,N,1
character typed,2019-06-05T06:42:24,t,0,N,1
character typed,2019-06-05T06:42:24,t,0,N,1
